Client Name,Measurement No.,Reporting Year End Date,# Sites,# Employees,Total Goods and Services Spend,Sector / Industry,Type of Footprint,Scope 1 total KGCO2e,Scope 2 total KGCO2e,Scope 3 total KGCO2e,Stationary Combustion,Mobile Combustion,Fugitive Emissions,Process Emissions,Purchased Electricity,"Purchased Steam, Heat & Cooling",Purchased Goods & Services,Capital Goods,Fuel & Energy Related Activities,Transportation & Distribution,Operational Waste,Business Travel,Employee Commuting & Home Working,Leased Assets,Transportation & Distribution DOWNSTREAM,Processing of Sold Products,Use of Sold Products,End-Of-Life Treatment of Sold Products,Leased Assets .,Franchises,Investments,Total Electricity Consumption (KgCO2e),Renewable Energy (%),Renewable Energy (KgCO2e),EV Employee Commute (KgCO2e),WFH,All other Commute ,Total Footprint (tCO2e),Employee C intensity (tCO2e)
Clinton Devon Estates,1,,-,-,,Agriculture; plantations;other rural sectors,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Groundskeeping Ltd,1,30/6/22,0,1,5570.00,Agriculture; plantations;other rural sectors,Full,0.00,0.00,4678.00,0.00,0.00,0.00,0.00,0.00,0.00,3176.00,485.00,0.00,0.00,0.00,1017.00,0.00,-,0.00,-,-,-,-,-,-,0.00,#DIV/0!,0.00,0.00,0.00,0.00,4.68,4.68
Corbett,1,31/12,1,80,1676722.00,Basic Metal Production,Full,2423317.00,52051.00,6380133.00,1485697.00,932400.00,5220.00,0.00,52051.00,0.00,5858658.00,66403.00,17676.00,89172.00,106580.00,1094.00,240550.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,208203.00,75.00,156152.00,0.00,0.00,240550.00,8855.50,110.69
Cutwel,1,30/04/22,1,92,1121920.00,Commerce / Retail,Full,39633.00,19081.00,1256384.00,25503.00,12733.00,1397.00,0.00,19081.00,0.00,264988.00,114251.00,3530.00,749354.00,1494.00,209.00,86954.00,-,35604.00,-,-,-,-,-,-,38163.00,50.00,19081.00,0.00,2742.00,84212.00,1315.10,14.29
Dining Club / Ello Group,1,31/12/21,-,-,2850717.00,Commerce / Retail,Full,18213.00,21492.00,1050674.00,18213.00,0.00,0.00,0.00,21492.00,0.00,775509.00,84113.00,6084.00,256.00,1375.00,0.00,183337.00,,0.00,,,,,,,21492.00,0.00,0.00,0.00,40230.00,143107.00,1090.38,#VALUE!
Mind Body Goals,1,31/12/21,-,-,11695.00,Commerce / Retail,Full,0.00,0.00,11620.00,0.00,0.00,0.00,0.00,0.00,0.00,2775.00,8347.00,40.00,0.00,0.00,75.00,383.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,383.00,0.00,11.62,#VALUE!
Move Online Retail,1,31/12/21,1,37,,Commerce / Retail,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Paper Graphics,,,-,-,1931978.00,Commerce / Retail,Full,56003.00,25743.00,2250780.00,56003.00,0.00,0.00,0.00,25743.00,0.00,504023.00,0.00,5492.00,1444718.00,4660.00,204717.00,80250.00,,6920.00,,,,,,,58506.00,56.00,32763.00,0.00,4958.00,75292.00,2332.53,#VALUE!
Paul Smith,,,-,-,,Commerce / Retail,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Big Partnership,1,31/05/21,-,-,868696.00,Financial services; professional services,PPN,1264.00,0.00,234343.00,1153.00,111.00,0.00,0.00,0.00,0.00,174280.00,1770.00,0.00,0.00,0.00,419.00,57874.00,,0.00,,,,,,,,#DIV/0!,,,,,235.61,#VALUE!
Blue Sky Design,1,31/12/21,-,-,97788.00,Construction,PPN,3278.00,624.00,46366.00,3278.00,0.00,0.00,0.00,624.00,0.00,25533.00,0.00,0.00,0.00,92.00,172.00,20569.00,,0.00,,,,,,,5010.00,87.54,4386.00,0.00,285.00,20284.00,50.27,#VALUE!
Project Group FFE,1,31/12/21,3,115,1527989.00,Commerce / Retail,Full,89365.00,12578.00,951939.00,23675.00,65690.00,0.00,0.00,12578.00,0.00,376737.00,0.00,3114.00,80386.00,125.00,70828.00,142808.00,-,277941.00,-,-,-,-,-,-,20963.00,40.00,8385.00,0.00,12605.00,130203.00,1053.88,9.16
